Day , cco , ccoextr , ccoexts , ccx , cgt , cgtpcst , cgttlm , hou , mld , mlx , neb , nex , okc , okctlm , okx
109 ,   0  ,   0  ,   0  ,   1  ,   0  ,   0  ,   0  ,   0  ,   1  ,   3  ,   0  ,   0  ,   0  ,   0  ,   0  , 
110 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   3  ,   0  ,   0  ,   0  ,   0  ,   0  , 
111 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   6  ,   6  ,   3  ,   2  ,   3  ,   1  ,   0  , 
112 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   8  ,   2  ,   0  ,   0  ,   1  ,   0  ,   0  , 
113 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   2  ,   3  ,   0  ,   0  ,   1  ,   0  ,   0  , 
114 ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   4  ,   5  ,   0  ,   0  ,   0  ,   0  ,   0  , 
115 ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   2  ,   3  ,   0  ,   0  ,   0  ,   0  ,   1  , 
116 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   12  ,   0  ,   4  ,   1  ,   1  ,   0  ,   0  , 
117 ,   0  ,   0  ,   0  ,   3  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   0  ,   0  ,   1  , 
118 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   6  ,   1  ,   2  ,   0  ,   0  ,   0  ,   0  , 
119 ,   2  ,   0  ,   0  ,   1  ,   0  ,   0  ,   0  ,   0  ,   9  ,   3  ,   3  ,   0  ,   2  ,   0  ,   3  , 
120 ,   0  ,   0  ,   0  ,   2  ,   0  ,   0  ,   0  ,   0  ,   2  ,   6  ,   2  ,   0  ,   0  ,   0  ,   1  , 
121 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   4  ,   2  ,   1  ,   0  ,   0  ,   0  , 
122 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   2  ,   3  ,   1  ,   0  ,   2  ,   0  ,   0  , 
123 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   9  ,   6  ,   0  ,   0  ,   1  ,   0  ,   0  , 
124 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   5  ,   5  ,   1  ,   2  ,   2  ,   0  ,   0  , 
125 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   4  ,   4  ,   2  ,   0  ,   2  ,   0  ,   0  , 
126 ,   5  ,   0  ,   0  ,   2  ,   0  ,   0  ,   4  ,   0  ,   2  ,   2  ,   2  ,   1  ,   1  ,   1  ,   0  , 
127 ,   1  ,   0  ,   0  ,   2  ,   0  ,   0  ,   0  ,   0  ,   2  ,   6  ,   0  ,   0  ,   1  ,   0  ,   0  , 
128 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   4  ,   2  ,   0  ,   0  ,   4  ,   0  ,   0  , 
129 ,   2  ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   4  ,   0  ,   1  ,   0  ,   0  ,   1  ,   0  , 
130 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   1  ,   0  ,   0  ,   2  ,   0  ,   2  , 
131 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   5  ,   0  ,   2  ,   0  ,   3  ,   0  ,   0  , 
132 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   2  ,   4  ,   2  ,   0  ,   0  ,   0  ,   1  , 
133 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   0  ,   4  ,   2  ,   0  ,   0  ,   1  ,   0  ,   0  , 
